Journal_Name,Index_Category
INQUIRY-THE JOURNAL OF HEALTH CARE ORGANIZATION PROVISION AND FINANCING,SSCI/SCIE/SCI
INSURANCE MATHEMATICS & ECONOMICS,SSCI/SCIE/SCI
Intensive and Critical Care Nursing,SSCI/SCIE/SCI
INTERACTING WITH COMPUTERS,SSCI/SCIE/SCI
Inter-Asia Cultural Studies,SSCI/SCI/AHCI
Intercultural Pragmatics,SSCI/SCI/AHCI
INTERDISCIPLINARY SCIENCE REVIEWS,SSCI/SCIE/SCI
International Emergency Nursing,SSCI/SCIE/SCI
International Health,SSCI/SCIE/SCI
INTERNATIONAL JOURNAL FOR QUALITY IN HEALTH CARE,SSCI/SCIE/SCI
International Journal for the Psychology of Religion,SSCI/SCI/AHCI
INTERNATIONAL JOURNAL OF AMERICAN LINGUISTICS,SSCI/SCI/AHCI
International Journal of Applied Linguistics,SSCI
International Journal of Architectural Heritage,SCIE/SCI/AHCI
INTERNATIONAL JOURNAL OF ART & DESIGN EDUCATION,SSCI/SCI/AHCI
International Journal of Arts Management,SSCI/SCI/AHCI
International Journal of Bilingual Education and Bilingualism,SSCI/SCI/AHCI
International Journal of Bilingualism,SSCI/SCI/AHCI
International Journal of Circumpolar Health,SSCI/SCIE/SCI
International Journal of Corpus Linguistics,SSCI/SCI/AHCI
International Journal of Cultural Policy,SSCI/SCI/AHCI
International Journal of Cultural Studies,SSCI/SCI/AHCI
International Journal of Design,SSCI/SCIE/SCI/AHCI
INTERNATIONAL JOURNAL OF EATING DISORDERS,SSCI/SCIE/SCI
INTERNATIONAL JOURNAL OF ELECTRONIC COMMERCE,SSCI/SCIE/SCI
INTERNATIONAL JOURNAL OF GAME THEORY,SSCI/SCIE/SCI
INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE,SSCI/SCIE/SCI
INTERNATIONAL JOURNAL OF GERIATRIC PSYCHIATRY,SSCI/SCIE/SCI
International Journal of Health Geographics,SSCI/SCIE/SCI
International Journal of Health Policy and Management,SSCI/SCIE/SCI
International Journal of Heritage Studies,SSCI/SCI/AHCI
INTERNATIONAL JOURNAL OF HUMAN-COMPUTER INTERACTION,SSCI/SCIE/SCI
INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES,SSCI/SCIE/SCI
INTERNATIONAL JOURNAL OF INDUSTRIAL ERGONOMICS,SSCI/SCIE/SCI
International Journal of Integrated Care,SSCI/SCIE/SCI
INTERNATIONAL JOURNAL OF LANGUAGE & COMMUNICATION DISORDERS,SSCI/SCIE/SCI
International Journal of Lean Six Sigma,SSCI/SCIE/SCI
INTERNATIONAL JOURNAL OF LEXICOGRAPHY,SSCI/SCI/AHCI
International Journal of Mental Health and Addiction,SSCI/SCIE/SCI
International Journal of Mental Health Nursing,SSCI/SCIE/SCI
